source_id,destination_id,relationship_type,required_skills,optional_skills,estimated_time_months,transition_difficulty,recommended_certifications,probability,confidence,metadata
eea10ccb-5845-5b7c-8072-43d30f1ad5ff,86074299-5d6a-5077-a9ea-2989adcb112f,next_step,[],[],,1,[],0.5,0.8,{}
86074299-5d6a-5077-a9ea-2989adcb112f,0ff8ea5d-dfff-55d8-8939-ac0c4efc1192,next_step,[],[],,1,[],0.5,0.8,{}
0ff8ea5d-dfff-55d8-8939-ac0c4efc1192,7d037228-21a6-5efa-ac71-888137da9f24,branch,[],[],,1,[],0.5,0.8,{}
7d037228-21a6-5efa-ac71-888137da9f24,5ec30a3b-9df6-5d80-a5c3-5c011c384263,branch,[],[],,1,[],0.5,0.8,{}
5ec30a3b-9df6-5d80-a5c3-5c011c384263,be359f2f-02b3-5bae-9733-a48d281cddb8,next_step,[],[],,1,[],0.5,0.8,{}
be359f2f-02b3-5bae-9733-a48d281cddb8,789d2c42-5a67-5069-aeea-a46dfda4593b,branch,[],[],,1,[],0.5,0.8,{}
be359f2f-02b3-5bae-9733-a48d281cddb8,40690a93-db1a-5b61-8f0d-a28ab54413b8,branch,[],[],,1,[],0.5,0.8,{}
40690a93-db1a-5b61-8f0d-a28ab54413b8,8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,next_step,[],[],,1,[],0.5,0.8,{}
ae446bd9-3686-5f2b-9553-62014f40806a,8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,requires_skill,[],[],,1,[],0.5,0.8,{}
2a0e2ec5-4861-5b24-b941-89abbd97ae37,8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,requires_skill,[],[],,1,[],0.5,0.8,{}
be359f2f-02b3-5bae-9733-a48d281cddb8,eaf50ff0-ca00-5726-8ef6-78e09832c0a7,branch,[],[],,1,[],0.5,0.8,{}
eaf50ff0-ca00-5726-8ef6-78e09832c0a7,40690a93-db1a-5b61-8f0d-a28ab54413b8,branch,[],[],,1,[],0.5,0.8,{}
40690a93-db1a-5b61-8f0d-a28ab54413b8,12f590be-65b9-5c82-a102-4e46ad975046,branch,[],[],,1,[],0.5,0.8,{}
12f590be-65b9-5c82-a102-4e46ad975046,789d2c42-5a67-5069-aeea-a46dfda4593b,branch,[],[],,1,[],0.5,0.8,{}
eaf50ff0-ca00-5726-8ef6-78e09832c0a7,789d2c42-5a67-5069-aeea-a46dfda4593b,branch,[],[],,1,[],0.5,0.8,{}
be359f2f-02b3-5bae-9733-a48d281cddb8,6bc580eb-4046-5aa2-ad9a-527841d17928,branch,[],[],,1,[],0.5,0.8,{}
6bc580eb-4046-5aa2-ad9a-527841d17928,40690a93-db1a-5b61-8f0d-a28ab54413b8,branch,[],[],,1,[],0.5,0.8,{}
8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,789d2c42-5a67-5069-aeea-a46dfda4593b,branch,[],[],,1,[],0.5,0.8,{}
6bc580eb-4046-5aa2-ad9a-527841d17928,789d2c42-5a67-5069-aeea-a46dfda4593b,branch,[],[],,1,[],0.5,0.8,{}
be359f2f-02b3-5bae-9733-a48d281cddb8,f3bf4f27-3303-5fa0-86f3-00a9bfbece90,branch,[],[],,1,[],0.5,0.8,{}
f3bf4f27-3303-5fa0-86f3-00a9bfbece90,40690a93-db1a-5b61-8f0d-a28ab54413b8,branch,[],[],,1,[],0.5,0.8,{}
8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,1aa7190b-c3c7-57c2-9881-33409699dd7e,next_step,[],[],,5,[],0.5,0.8,{}
